metros_cuadrados,habitaciones,precio_alquiler,barrio,precio_barrio,precio_metro_cuadrado,precio_habitacion,precio_metro_habitacion
64.0,2,471,"San Cristóbal, Madrid",546.3648648648649,7.359375,235.5,3.6796875
70.0,3,666,"Los Ángeles, Madrid",742.2826086956521,9.514285714285714,222.0,3.1714285714285713
94.0,2,722,"San Andrés, Madrid",770.3835616438356,7.680851063829787,361.0,3.8404255319148937
64.0,2,583,"San Andrés, Madrid",770.3835616438356,9.109375,291.5,4.5546875
108.0,2,1094,"Los Rosales, Madrid",785.7218045112782,10.12962962962963,547.0,5.064814814814815
126.0,4,901,"San Andrés, Madrid",770.3835616438356,7.150793650793651,225.25,1.7876984126984128
120.0,5,884,"San Andrés, Madrid",770.3835616438356,7.366666666666666,176.8,1.4733333333333334
125.0,3,912,"Villaverde, Madrid",696.4850746268656,7.296,304.0,2.432
84.0,3,954,"Villaverde, Madrid",696.4850746268656,11.357142857142858,318.0,3.7857142857142856
85.0,2,672,"Los Rosales, Madrid",785.7218045112782,7.905882352941177,336.0,3.9529411764705884
69.0,2,617,"San Andrés, Madrid",770.3835616438356,8.942028985507246,308.5,4.471014492753623
122.0,3,1058,"Villaverde, Madrid",696.4850746268656,8.672131147540984,352.6666666666667,2.890710382513661
123.0,3,901,"Los Rosales, Madrid",785.7218045112782,7.32520325203252,300.3333333333333,2.4417344173441733
109.0,3,933,"Los Ángeles, Madrid",742.2826086956521,8.559633027522937,311.0,2.853211009174312
64.0,3,408,"San Cristóbal, Madrid",546.3648648648649,6.375,136.0,2.125
115.0,3,780,"Los Rosales, Madrid",785.7218045112782,6.782608695652174,260.0,2.260869565217391
115.0,3,867,"Villaverde, Madrid",696.4850746268656,7.539130434782609,289.0,2.5130434782608697
65.0,3,494,"Villaverde, Madrid",696.4850746268656,7.6,164.66666666666666,2.533333333333333
75.0,3,666,"Villaverde, Madrid",696.4850746268656,8.88,222.0,2.96
60.0,2,516,"Villaverde, Madrid",696.4850746268656,8.6,258.0,4.3
60.0,2,493,"Villaverde, Madrid",696.4850746268656,8.216666666666667,246.5,4.108333333333333
95.0,4,724,"Villaverde, Madrid",696.4850746268656,7.621052631578947,181.0,1.9052631578947368
76.0,3,583,"Villaverde, Madrid",696.4850746268656,7.671052631578948,194.33333333333334,2.557017543859649
51.0,2,508,"San Andrés, Madrid",770.3835616438356,9.96078431372549,254.0,4.980392156862745
134.0,3,666,"San Andrés, Madrid",770.3835616438356,4.970149253731344,222.0,1.6567164179104477
62.0,2,557,"San Andrés, Madrid",770.3835616438356,8.983870967741936,278.5,4.491935483870968
75.0,3,698,"San Andrés, Madrid",770.3835616438356,9.306666666666667,232.66666666666666,3.102222222222222
112.0,4,1148,"Villaverde, Madrid",696.4850746268656,10.25,287.0,2.5625
65.0,3,744,"Los Rosales, Madrid",785.7218045112782,11.446153846153846,248.0,3.8153846153846156
70.0,2,728,"San Andrés, Madrid",770.3835616438356,10.4,364.0,5.2
75.0,1,505,"San Andrés, Madrid",770.3835616438356,6.733333333333333,505.0,6.733333333333333
123.0,3,1195,"Los Rosales, Madrid",785.7218045112782,9.715447154471544,398.3333333333333,3.238482384823848
61.0,3,539,"San Andrés, Madrid",770.3835616438356,8.836065573770492,179.66666666666666,2.9453551912568305
72.0,2,698,"Villaverde, Madrid",696.4850746268656,9.694444444444445,349.0,4.847222222222222
61.0,3,539,"Butarque, Madrid",993.5370370370371,8.836065573770492,179.66666666666666,2.9453551912568305
71.0,3,672,"San Andrés, Madrid",770.3835616438356,9.464788732394366,224.0,3.1549295774647885
